"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",3,50.000000,966.714332,101.409051,"ops/ms",SIDUP
"benchmarks.simple.Mapping.shared","thrpt",3,50.000000,211.625130,4.688797,"ops/ms",SIDUP
